,distance,plafond,duration,date
0,3,1045,0 days 00:37:28.000000000,2022-01-17
1,2,950,0 days 00:19:48.000000000,2022-01-17
2,1,958,0 days 00:06:56.000000000,2022-01-16
3,1,886,0 days 00:04:41.000000000,2022-01-16
4,1,905,0 days 00:03:44.000000000,2022-01-15
5,1,945,0 days 00:06:23.000000000,2022-01-15
6,2,944,0 days 00:27:17.000000000,2022-01-13
7,3,955,0 days 00:10:22.000000000,2022-01-13
8,2,951,0 days 00:11:35.000000000,2022-01-13
9,2,938,0 days 00:20:30.000000000,2022-01-13
10,2,941,0 days 00:09:12.000000000,2022-01-13
11,3,1168,0 days 00:44:13.000000000,2022-12-01
12,23,1345,0 days 01:10:48.000000000,2022-12-01
13,3,969,0 days 00:16:53.000000000,2022-12-01
14,8,1178,0 days 00:27:51.000000000,2022-12-01
15,14,1306,0 days 01:20:58.000000000,2022-12-01
16,17,1284,0 days 02:05:53.000000000,2022-12-01
17,16,1292,0 days 01:02:18.000000000,2022-12-01
18,5,1275,0 days 00:23:20.000000000,2022-11-01
19,4,1075,0 days 00:20:56.000000000,2022-11-01
0,5,1105,0 days 00:39:38.000000000,2022-11-01
1,2,1098,0 days 00:21:04.000000000,2022-11-01
2,4,1217,0 days 00:19:43.000000000,2022-11-01
3,1,944,0 days 00:09:12.000000000,2022-08-01
4,2,1087,0 days 00:37:11.000000000,2022-06-01
5,3,944,0 days 00:15:39.000000000,2022-06-01
6,2,950,0 days 00:09:58.000000000,2022-06-01
7,2,871,0 days 00:05:49.000000000,2022-03-01
8,2,963,0 days 00:13:13.000000000,2022-03-01
9,2,950,0 days 00:07:31.000000000,2022-03-01
10,2,966,0 days 00:06:56.000000000,2022-02-01
11,2,967,0 days 00:06:16.000000000,2022-01-01
12,1,943,0 days 00:04:56.000000000,2022-01-01
13,1,950,0 days 00:06:23.000000000,2022-01-01
14,1,950,0 days 00:05:49.000000000,2021-12-31
15,2,916,0 days 00:06:43.000000000,2021-12-31
16,2,950,0 days 00:06:23.000000000,2021-12-31
17,1,939,0 days 00:05:00.000000000,2021-12-23
18,1,938,0 days 00:04:41.000000000,2021-12-23
19,1,961,0 days 00:05:42.000000000,2021-12-23
0,2,947,0 days 00:07:07.000000000,2021-12-23
1,1,968,0 days 00:04:16.000000000,2021-12-23
2,1,955,0 days 00:05:54.000000000,2021-12-23
3,2,965,0 days 00:12:00.000000000,2021-12-22
4,1,955,0 days 00:06:23.000000000,2021-12-21
5,0,960,0 days 00:02:59.000000000,2021-12-21
6,1,955,0 days 00:05:49.000000000,2021-12-21
7,1,944,0 days 00:04:16.000000000,2021-12-18
8,1,932,0 days 00:06:18.000000000,2021-12-18
9,1,807,0 days 00:05:49.000000000,2021-12-12
10,1,940,0 days 00:07:31.000000000,2021-12-12
11,2,994,0 days 00:14:51.000000000,2021-09-12
12,1,786,0 days 00:05:30.000000000,2021-07-12
13,2,955,0 days 00:10:20.000000000,2021-07-12
14,3,983,0 days 00:12:37.000000000,2021-06-12
15,2,941,0 days 00:19:23.000000000,2021-06-12
16,2,954,0 days 00:11:28.000000000,2021-03-12
17,3,944,0 days 00:13:10.000000000,2021-03-12
18,2,949,0 days 00:07:32.000000000,2021-03-12
19,2,941,0 days 00:09:12.000000000,2021-03-12
0,3,938,0 days 00:15:25.000000000,2021-03-12
1,1,952,0 days 00:05:49.000000000,2021-11-30
2,1,963,0 days 00:06:23.000000000,2021-11-27
3,2,972,0 days 00:06:23.000000000,2021-11-25
4,2,975,0 days 00:07:31.000000000,2021-11-25
5,2,952,0 days 00:12:02.000000000,2021-11-25
6,2,945,0 days 00:09:46.000000000,2021-11-24
7,2,947,0 days 00:11:12.000000000,2021-11-24
8,1,945,0 days 00:06:56.000000000,2021-11-24
9,2,950,0 days 00:10:54.000000000,2021-11-24
10,2,949,0 days 00:13:10.000000000,2021-11-24
11,1,951,0 days 00:08:04.000000000,2021-11-24
12,3,946,0 days 00:10:22.000000000,2021-11-24
13,3,941,0 days 00:14:51.000000000,2021-11-24
14,2,998,0 days 00:09:46.000000000,2021-11-24
15,2,959,0 days 00:10:20.000000000,2021-11-24
16,2,946,0 days 00:08:38.000000000,2021-11-23
17,2,987,0 days 00:08:38.000000000,2021-11-23
18,3,946,0 days 00:13:43.000000000,2021-11-23
19,1,951,0 days 00:09:12.000000000,2021-11-23
0,0,957,0 days 00:01:51.000000000,2021-11-23
1,2,950,0 days 00:05:54.000000000,2021-11-21
2,3,1650,0 days 01:44:42.000000000,2021-11-21
3,5,1928,0 days 01:39:37.000000000,2021-11-21
4,2,961,0 days 00:05:49.000000000,2021-11-20
5,2,957,0 days 00:07:31.000000000,2021-11-20
6,2,945,0 days 00:05:49.000000000,2021-11-20
7,2,947,0 days 00:06:23.000000000,2021-11-20
8,1,951,0 days 00:04:41.000000000,2021-11-20
9,2,942,0 days 00:05:15.000000000,2021-11-20
10,1,904,0 days 00:05:15.000000000,2021-11-20
11,2,950,0 days 00:11:28.000000000,2021-11-20
12,2,952,0 days 00:13:43.000000000,2021-11-19
13,2,950,0 days 00:10:20.000000000,2021-11-19
14,2,943,0 days 00:09:46.000000000,2021-11-19
15,2,951,0 days 00:09:12.000000000,2021-11-19
16,4,1002,0 days 01:15:19.000000000,2021-11-19
17,2,955,0 days 00:07:56.000000000,2021-11-18
18,2,957,0 days 00:10:20.000000000,2021-11-18
19,2,989,0 days 00:21:04.000000000,2021-11-18
0,2,946,0 days 00:10:33.000000000,2021-11-18
1,2,951,0 days 00:08:38.000000000,2021-11-18
2,3,950,0 days 00:10:39.000000000,2021-11-18
3,1,993,0 days 00:13:10.000000000,2021-11-18
4,1,945,0 days 00:06:56.000000000,2021-11-15
5,3,951,0 days 00:14:17.000000000,2021-11-15
6,2,958,0 days 00:06:18.000000000,2021-11-14
7,2,946,0 days 00:08:38.000000000,2021-11-14
8,2,949,0 days 00:09:46.000000000,2021-11-14
9,2,949,0 days 00:10:20.000000000,2021-11-14
10,2,991,0 days 00:22:46.000000000,2021-11-14
11,3,942,0 days 00:14:51.000000000,2021-11-14
12,2,931,0 days 00:08:38.000000000,2021-11-14
13,3,964,0 days 00:12:37.000000000,2021-11-14
14,2,960,0 days 00:12:48.000000000,2021-11-14
15,2,954,0 days 00:08:38.000000000,2021-11-13
16,1,964,0 days 00:09:12.000000000,2021-11-13
17,1,947,0 days 00:04:41.000000000,2021-11-13
18,0,958,0 days 00:01:18.000000000,2021-11-13
19,1,947,0 days 00:07:31.000000000,2021-11-13
0,2,951,0 days 00:12:02.000000000,2021-12-11
1,2,954,0 days 00:06:56.000000000,2021-12-11
2,2,953,0 days 00:10:54.000000000,2021-12-11
3,1,946,0 days 00:04:07.000000000,2021-11-11
4,1,950,0 days 00:05:49.000000000,2021-11-11
5,1,918,0 days 00:05:10.000000000,2021-11-11
6,2,897,0 days 00:06:23.000000000,2021-11-11
7,1,948,0 days 00:06:23.000000000,2021-11-11
8,1,941,0 days 00:09:56.000000000,2021-09-11
9,2,1132,0 days 00:23:20.000000000,2021-09-11
10,6,1203,0 days 01:07:25.000000000,2021-09-11
11,1,943,0 days 00:04:41.000000000,2021-08-11
12,1,949,0 days 00:04:41.000000000,2021-08-11
13,1,945,0 days 00:07:07.000000000,2021-08-11
14,3,944,0 days 00:10:20.000000000,2021-08-11
15,2,993,0 days 00:19:19.000000000,2021-08-11
16,2,943,0 days 00:12:02.000000000,2021-07-11
17,4,1152,0 days 00:18:15.000000000,2021-07-11
